stock,strategy,trades,wins,win_rate,avg_ret,total_ret,bh_ret,edge_vs_bh
NESTLEIND,CAM_S3_SHORT,49,18,0.3673469387755102,0.0004133302738176001,0.01891340696700783,0.1572942135289323,-0.13838080656192447
NESTLEIND,CAM_R4_BREAKOUT_LONG,21,5,0.238095238095238,-0.0027521058442965,-0.05657841842158329,0.1572942135289323,-0.2138726319505156
NESTLEIND,CAM_S4_BREAKDOWN_SHORT,12,5,0.4166666666666667,-0.0017800993514395,-0.021365614976049496,0.1572942135289323,-0.1786598285049818
WIPRO,STD_S1_BOUNCE_LONG,28,14,0.5,-0.0005403609687991999,-0.017542796869350674,-0.0850515463917526,0.06750874952240192
WIPRO,STD_R1_BOUNCE_SHORT,25,12,0.48,0.0010182518956941,0.024494595963146182,-0.0850515463917526,0.10954614235489878
WIPRO,STD_R1_BREAKOUT_LONG,20,10,0.5,-0.0003388594542058999,-0.007272932539854282,-0.0850515463917526,0.07777861385189831
WIPRO,STD_S1_BREAKDOWN_SHORT,21,11,0.5238095238095238,-0.0016590997948683,-0.03541007461200907,-0.0850515463917526,0.049641471779743526
WIPRO,FIB_S1_BOUNCE_LONG,37,19,0.5135135135135135,0.0014833980339076002,0.05420030797788078,-0.0850515463917526,0.1392518543696334
WIPRO,FIB_R1_BOUNCE_SHORT,28,15,0.5357142857142857,0.002029780031891,0.05759978575338587,-0.0850515463917526,0.14265133214513848
WIPRO,CAM_L3_LONG,36,15,0.4166666666666667,0.0013022279514556,0.045537059340548636,-0.0850515463917526,0.13058860573230124
WIPRO,CAM_S3_SHORT,39,20,0.5128205128205128,0.0025951845344918,0.10478072525895343,-0.0850515463917526,0.18983227165070604
WIPRO,CAM_R4_BREAKOUT_LONG,20,8,0.4,-0.0021685218193532997,-0.042915786214261176,-0.0850515463917526,0.04213576017749142
WIPRO,CAM_S4_BREAKDOWN_SHORT,18,7,0.3888888888888889,-0.0010591305263512,-0.019783893043293865,-0.0850515463917526,0.06526765334845873
ONGC,STD_S1_BOUNCE_LONG,27,12,0.4444444444444444,-0.0029954722450333997,-0.0787691402509807,-0.1262975778546713,0.047528437603690604
ONGC,STD_R1_BOUNCE_SHORT,23,15,0.6521739130434783,0.0034527698070702002,0.08150481114376307,-0.1262975778546713,0.20780238899843437
